meal_id,ts,meal_type,name,kcal,protein_g,carb_g,fat_g,fiber_g,sugar_g,sat_fat_g,sodium_mg,items,confidence,note
m_2026-06-08_0810,2026-06-08 08:10,breakfast,Breakfast,243,7.8,41.1,5.1,5.9,15,1.5,61,2,0.98,
m_2026-06-08_1305,2026-06-08 13:05,lunch,Lunch,490,29.6,70.1,10.2,5.8,22.2,3.7,1040,3,0.95,
m_2026-06-08_1640,2026-06-08 16:40,snack,Afternoon snack,233,5.8,29.3,12.8,7.2,18.1,0.9,2,2,0.93,eyeballed the almonds
m_2026-06-08_1950,2026-06-08 19:50,dinner,Dinner,440,21.6,70.4,6.5,8.8,5.4,1.4,794,2,0.97,"fresh batch, first portion"
m_2026-06-09_0755,2026-06-09 07:55,breakfast,Breakfast,290,8.4,53.8,5.1,6.6,19.2,1.6,61,2,0.98,
m_2026-06-09_1310,2026-06-09 13:10,lunch,Lunch,581,50,53.3,17.3,2.4,1.5,3.2,840,2,0.97,
m_2026-06-09_1625,2026-06-09 16:25,snack,Protein shake,222,27.4,25.8,2,3,14.1,0.8,64,2,0.99,
m_2026-06-09_2005,2026-06-09 20:05,dinner,Dinner,357,26.2,39,9.5,6.6,6.5,2.8,805,2,0.96,
m_2026-06-10_0800,2026-06-10 08:00,breakfast,Breakfast,321,48.2,26.4,2.8,2.7,21.8,1.4,142,3,0.98,
m_2026-06-10_1300,2026-06-10 13:00,lunch,Lunch,547,46.7,49.8,16.7,2.2,1.4,3.1,784,2,0.97,
m_2026-06-10_1645,2026-06-10 16:45,snack,Afternoon snack,267,6.8,31.8,15.4,8.1,19.3,1.1,2,2,0.92,estimated portion
m_2026-06-10_1945,2026-06-10 19:45,dinner,Dinner,511,31,70.1,10.3,8.1,7.7,3,1074,3,0.96,
m_2026-06-11_0805,2026-06-11 08:05,breakfast,Breakfast,315,48.1,25,2.8,2.5,20.8,1.4,142,3,0.98,
m_2026-06-11_1315,2026-06-11 13:15,lunch,Lunch,513,43.3,46.2,16.1,2.1,1.3,2.9,728,2,0.97,
m_2026-06-11_1700,2026-06-11 17:00,snack,Protein shake,222,27.4,25.8,2,3,14.1,0.8,64,2,0.99,
m_2026-06-11_2010,2026-06-11 20:10,dinner,Dinner,410,19.2,67.6,5.6,7.6,4.8,1.2,736,2,0.95,light dinner before early night
