month,net_worth_eur,after_tax_eur,cash_eur,monthly_income_eur,target_eur
2025-07,357924,346719,31965,5200,500000
2025-08,368862,357141,32957,5200,500000
2025-09,379084,366891,33281,5200,500000
2025-10,389972,379769,33781,5400,500000
2025-11,396260,386164,34561,5400,500000
2025-12,403315,391292,35021,5400,500000
2026-01,409447,398648,35424,5400,500000
2026-02,395447,385434,33424,5400,500000
2026-03,400968,391004,33875,5600,500000
2026-04,406224,393603,34363,5600,500000
2026-05,414961,404625,34755,5600,500000
2026-06,430000,419500,38500,5600,500000
